"Province_State","year_month","Lat","Long_","Confirmed","Deaths","Incident_Rate","Total_Test_Results","Case_Fatality_Ratio","Testing_Rate"
"Nebraska","2023-02",41.1254,-98.2681,562050.607142857,4804.46428571429,29055.4323153573,6072319.74854931,0.854796360467905,280958.790923557
"Nebraska","2023-03",41.1254,-98.2681,565760.4,4909.9,29247.2115499936,6071641.16247575,0.867838491641726,281893.009098812
"Nevada","2020-04",38.3135,-117.0554,3913.61111111111,167.944444444444,127.058860366524,305731.887376988,1.97976783990543,1087.53602587978
"Nevada","2020-05",38.3135,-117.0554,6754.1935483871,336.290322580645,219.280891889472,403097.24284317,1.92397272432553,2600.71084058495
"Nevada","2020-06",38.3135,-117.0554,11800.9333333333,463.366666666667,383.127780973864,475193.616762426,1.75717928741072,6825.34153032076
"Nevada","2020-07",38.3135,-117.0554,31681.9677419355,628.741935483871,1028.58321922446,809902.774498734,1.59709055096823,11911.1258671482
"Nevada","2020-08",38.3135,-117.0554,59806.935483871,1060.67741935484,1941.68527450788,1256147.04139218,1.50833607424017,17486.4142826203
"Nevada","2020-09",38.3135,-117.0554,74126.4666666667,1469.06666666667,2406.58157140959,1490831.69888917,1.5343089488658,20954.4884523165
"Nevada","2020-10",38.3135,-117.0554,88744.5806451613,1689.45161290323,2881.17162394247,1490344.25280757,1.56530033098117,24786.0477029044
"Nevada","2020-11",38.3135,-117.0554,121766.866666667,1928.86666666667,3953.26946643828,1464904.14866017,1.55246915289123,46234.6733953302
"Nevada","2020-12",38.3135,-117.0554,190019.451612903,2601.77419354839,6169.15025125037,1863074.51612903,1.37035386578588,60486.3687465515
"Nevada","2021-01",38.3135,-117.0554,254991.096774194,3670.16129032258,8278.51241216982,2291906.90322581,1.43638628009366,74408.7930359958
"Nevada","2021-02",38.3135,-117.0554,287058.285714286,4666.17857142857,9319.60217970407,2602434.57142857,1.62476673683832,84490.3495611447
"Nevada","2021-03",38.3135,-117.0554,299006.225806452,5114.74193548387,9707.50266565887,2828560.06451613,1.71045497708417,91831.714514334
"Nevada","2021-04",38.3135,-117.0554,309232.266666667,5351.8,10039.5001638445,3059119.26666667,1.73066616169496,99317.0237697918
"Nevada","2021-05",38.3135,-117.0554,320138.096774194,5526.16129032258,10393.5676236591,3282867.80645161,1.72620495342317,106581.21882306
"Nevada","2021-06",38.3135,-117.0554,328033.666666667,5631.2,10649.9043122058,3445033.43333333,1.71669286791824,111846.069917671
"Nevada","2021-07",38.3135,-117.0554,342811.774193548,5761.12903225806,11129.688697376,3602356.22580645,1.68084471685355,116953.694092327
"Nevada","2021-08",38.3135,-117.0554,372681.096774194,6174.32258064516,12099.4227816446,3858461.25740749,1.65663506004806,125356.068290647
"Nevada","2021-09",38.3135,-117.0554,405924.366666667,6786.96666666667,13178.6950617653,4186853.1,1.671843356145,135929.904199657
"Nevada","2021-10",38.3135,-117.0554,430237.419354839,7393.09677419355,13968.0399094993,4427504.80645161,1.71820006017083,143742.875570316
"Nevada","2021-11",38.3135,-117.0554,448691.066666667,7832.26666666667,14567.153958003,4679677.53333333,1.74552720942405,151929.887100956
"Nevada","2021-12",38.3135,-117.0554,467985.419354839,8232.09677419355,15193.5622531729,4923931.19354839,1.75906463565534,159859.799099409
