TEMP,MONTH,YEAR,STATE
64.6,MAY,2020,California
64.5,MAY,2021,California
62.3,MAY,2022,California
55.6,MAY,2020,Colorado
52.9,MAY,2021,Colorado
53.3,MAY,2022,Colorado
56.4,MAY,2020,Connecticut
57.8,MAY,2021,Connecticut
60.8,MAY,2022,Connecticut
60.6,MAY,2020,Delaware
63.3,MAY,2021,Delaware
64.5,MAY,2022,Delaware
75.8,MAY,2020,Florida
76.1,MAY,2021,Florida
77.6,MAY,2022,Florida
69.4,MAY,2020,Georgia
69.4,MAY,2021,Georgia
73.2,MAY,2022,Georgia
50.6,MAY,2020,Idaho
49.8,MAY,2021,Idaho
46.2,MAY,2022,Idaho
60.6,MAY,2020,Illinois
61.1,MAY,2021,Illinois
65.3,MAY,2022,Illinois
59.7,MAY,2020,Indiana
59.6,MAY,2021,Indiana
64.9,MAY,2022,Indiana
57.6,MAY,2020,Iowa
59,MAY,2021,Iowa
61.3,MAY,2022,Iowa
61.7,MAY,2020,Kansas
61.9,MAY,2021,Kansas
64.6,MAY,2022,Kansas
62.2,MAY,2020,Kentucky
62.4,MAY,2021,Kentucky
67.6,MAY,2022,Kentucky
73,MAY,2020,Louisiana
72.3,MAY,2021,Louisiana
77.1,MAY,2022,Louisiana
51.2,MAY,2020,Maine
52.4,MAY,2021,Maine
54.3,MAY,2022,Maine
60.5,MAY,2020,Maryland
62.2,MAY,2021,Maryland
64.6,MAY,2022,Maryland
56.2,MAY,2020,Massachusetts
57.6,MAY,2021,Massachusetts
59.9,MAY,2022,Massachusetts
53.2,MAY,2020,Michigan
54,MAY,2021,Michigan
57.6,MAY,2022,Michigan
53.5,MAY,2020,Minnesota
55.1,MAY,2021,Minnesota
55.4,MAY,2022,Minnesota
70.3,MAY,2020,Mississippi
69.9,MAY,2021,Mississippi
75,MAY,2022,Mississippi
62,MAY,2020,Missouri
62.3,MAY,2021,Missouri
65.9,MAY,2022,Missouri
50.6,MAY,2020,Montana
48.6,MAY,2021,Montana
48.6,MAY,2022,Montana
56.8,MAY,2020,Nebraska
57.9,MAY,2021,Nebraska
58.6,MAY,2022,Nebraska
58.8,MAY,2020,Nevada
57.2,MAY,2021,Nevada
54.4,MAY,2022,Nevada
